# These are the blocking effects for the sunflowers
# They were sent to me by Ed McAssey on 04/01/21
# 
# KCF
# 04/03/21
ind_code	block
29273-1	1
29273-2	1
29273-3	1
29273-4	1
29273-5	1
29273-7	2
29273-8	2
29273-9	2
29273-10	2
29273-11	2
29273-15	3
29273-16	3
29273-17	3
29273-18	3
29273-19	3
29273-20	4
29273-22	4
29273-24	4
29273-25	4
29273-26	4
413160-1	1
413160-2	1
413160-3	1
413160-5	1
413160-7	1
413160-8	2
413160-9	2
413160-10	2
413160-12	2
413160-13	2
413160-15	3
413160-16	3
413160-17	3
413160-18	3
413160-19	3
413160-20	4
413160-21	4
413160-22	4
413160-23	4
413160-24	4
468476-1	1
468476-2	1
468476-3	1
468476-4	1
468476-5	1
468476-6	2
468476-7	2
468476-8	2
468476-9	2
468476-10	2
468476-11	3
468476-12	3
468476-13	3
468476-15	3
468476-16	3
468476-17	4
468476-18	4
468476-19	4
468476-21	4
468476-22	4
468477-1	1
468477-2	1
468477-3	1
468477-5	1
468477-6	1
468477-7	2
468477-8	2
468477-9	2
468477-10	2
468477-11	2
468477-12	3
468477-13	3
468477-14	3
468477-15	3
468477-17	3
468477-19	4
468477-20	4
468477-21	4
468477-24	4
468477-25	4
468482-1	1
468482-2	1
468482-3	1
468482-4	1
468482-5	1
468482-6	2
468482-7	2
468482-8	2
468482-9	2
468482-10	2
468482-12	3
468482-13	3
468482-14	3
468482-15	3
468482-16	3
468482-18	4
468482-19	4
468482-20	4
468482-21	4
468482-23	4
468486-1	1
468486-2	1
468486-3	1
468486-4	1
468486-6	1
468486-7	2
468486-9	2
468486-10	2
468486-11	2
468486-13	2
468486-16	3
468486-17	3
531035-1	1
531035-2	1
531035-3	1
531035-4	1
531035-5	1
531035-6	2
531035-7	2
531035-8	2
531035-9	2
531035-10	2
531035-11	3
531035-12	4
531035-13	3
531035-14	3
531035-16	3
531035-17	3
531035-19	4
531035-22	4
531035-24	4
531035-25	4
586817-1	1
586817-2	1
586817-3	1
586817-4	1
586817-5	1
586817-6	2
586817-7	2
586817-8	2
586817-9	2
586817-10	2
586817-11	3
586817-12	3
586817-13	3
586817-14	3
586817-15	3
586817-17	4
586817-18	4
586817-20	4
586817-21	4
586817-28	4
586870-1	1
586870-2	1
586870-3	1
586870-4	1
586870-5	1
586870-6	2
586870-7	2
586870-8	2
586870-9	2
586870-10	2
586870-11	3
586870-12	3
586870-13	3
586870-15	3
586870-16	3
586870-17	4
586870-18	4
586870-19	4
586870-20	4
586870-21	4
592311-1	1
592311-3	1
592311-4	1
592311-5	1
592311-7	1
592311-8	2
592311-9	2
592311-11	2
592311-12	2
592311-13	2
592311-15	3
592311-19	3
592311-20	3
592311-21	3
592311-22	3
592316-1	1
592316-2	1
592316-3	1
592316-4	1
592316-5	1
592316-6	2
592316-7	2
592316-9	2
592316-10	2
592316-11	2
592316-12	3
592316-13	3
592316-14	3
592316-15	3
592316-16	3
592316-17	4
592316-18	4
592316-19	4
592316-22	4
592316-23	4
592320-2	4
592320-3	1
592320-4	1
592320-6	1
592320-7	1
592320-8	1
592320-9	2
592320-10	2
592320-11	2
592320-12	3
592320-13	2
592320-14	2
592320-16	3
592320-21	3
592320-22	3
592320-23	3
592320-24	4
592320-28	4
592320-29	4
592320-30	4
613750-1	1
613750-2	1
613750-3	1
613750-4	1
613750-5	1
613750-6	2
613750-7	2
613750-8	2
613750-9	2
613750-10	2
613750-11	3
613750-12	3
613750-13	3
613750-14	3
613750-15	3
613750-17	4
613750-18	4
613750-19	4
613750-23	4
613750-26	4
649806-1	1
649806-2	1
649806-3	1
649806-4	1
649806-5	1
649806-6	2
649806-7	2
649806-8	2
649806-9	2
649806-10	2
649806-11	3
649806-12	3
649806-13	3
649806-14	3
649806-15	3
649806-16	4
649806-17	4
649806-18	4
649806-19	4
649806-20	4
659440-2	1
659440-3	1
659440-4	1
659440-5	1
659440-6	1
659440-7	2
659440-8	2
659440-9	2
659440-10	2
659440-11	2
659440-12	3
659440-13	3
659440-16	3
659440-17	3
659440-18	3
659440-19	4
659440-20	4
659440-21	4
659440-22	4
659440-25	4
