accession_code,lat,lon
PI_435411,33.81416667,-97.82055556
PI_435413,33.64027778,-96.60638889
PI_435423,28.77444444,-96.96055556
PI_435425,28.38611111,-96.9125
PI_435429,27.80027778,-97.39611111
PI_435431,27.80027778,-97.39611111
PI_435432,27.57805556,-97.67305556
PI_435440,28.4975,-100.1916667
PI_435443,29.80611111,-101.4680556
PI_435449,32.11333333,-103.1938889
PI_435455,35.17361111,-102.0647222
PI_435458,35.43861111,-102.0938889
PI_435464,36.40888889,-103.1
PI_435474,35.72861111,-105.2377778
PI_435477,35.51472222,-104.6697222
PI_435479,35.31944444,-103.9758333
PI_435484,33.43722222,-101.6430556
PI_435486,32.91666667,-101.0605556
PI_435488,32.45888889,-100.3875
PI_435491,34.98333333,-105.1666667
PI_435492,35.00666667,-105.9205556
PI_435494,31.54388889,-97.80305556
PI_435496,34.70888889,-100.5166667
PI_435502,32.83388889,-109.7069444
PI_435503,34.27583333,-110.7988889
PI_435535,30.88666667,-103.1041667
PI_435536,31.06666667,-104.3530556
PI_435548,32.71666667,-114.6166667
PI_435550,33.56666667,-112.2333333
PI_435568,40.16333333,-110.4022222
PI_435592,34.39916667,-118.9172222
PI_468449,26.46666667,-97.76666667
PI_468450,26.19388889,-97.99388889
PI_468455,27.22027778,-99.41666667
PI_468456,27.63583333,-99.48333333
PI_468460,28.82027778,-100.5041667
PI_468462,29.68416667,-101.1730556
PI_468472,34.39722222,-103.1166667
PI_468479,35.22194444,-101.4480556
PI_468480,35.2,-101.1
PI_468494,33.785,-97.73333333
PI_468499,29.64833333,-95.03222222
PI_468500,29.64833333,-95.03222222
PI_468501,29.59222222,-95.03333333
PI_468506,29.57722222,-95.69166667
PI_468509,28.86305556,-95.94583333
PI_468510,28.65777778,-96.55222222
PI_468513,28.455,-96.88777778
PI_468516,27.88333333,-97.16361111
PI_468517,27.89638889,-97.30888889
PI_468521,27.45166667,-99.11972222
PI_468522,27.61055556,-99.48555556
PI_468523,27.86833333,-99.47305556
PI_468525,28.50361111,-100.2958333
PI_468527,29.3369,-100.927
PI_468528,29.709,-100.927
PI_468530,30.21305556,-103.2833333
PI_468532,30.89388889,-102.8788889
PI_468533,30.9,-103.025
PI_468534,31.06222222,-102.8947222
PI_468535,31.27444444,-102.8947222
PI_468538,32.84277778,-104.4872222
PI_468539,33.1975,-104.3425
PI_468541,35.24027778,-102.3916667
PI_468545,34.53583333,-103.0902778
PI_468547,33.37194444,-103.6572222
PI_468556,33.51138889,-105.4644444
PI_468567,33.10138889,-109.0666667
PI_468576,32.71611111,-111.4947222
PI_468578,32.72527778,-114.6236111
PI_468582,33.7825,-117.2277778
PI_468584,33.92555556,-116.8755556
PI_468590,36.35111111,-119.4191667
PI_468591,36.74777778,-119.7713889
PI_468592,37.38694444,-120.7225
PI_468593,38.67944444,-121.9672222
PI_468597,39.47361111,-118.7763889
PI_468599,38.95083333,-118.8102778
PI_468613,35.79333333,-110.5044444
PI_468615,36.21333333,-108.7091667
PI_468616,36.78555556,-108.6863889
PI_468629,36.37194444,-105.8969444
PI_468630,35.50666667,-97.76222222
PI_468632,35.25777778,-96.93638889
PI_586810,48.22472222,-101.3530556
PI_586861,39.28333333,-95.36666667
PI_649805,42.7625,-104.4516667
PI_649807,43.30583333,-100.6577778
PI_649810,30.98138889,-94.82611111
PI_649811,29.55,-95.8
PI_649845,30.09805556,-100.3863889
PI_649846,29.20944444,-99.78583333
PI_649847,29.38055556,-99.1175
PI_649848,32.01416667,-100.5541667
PI_649849,32.76222222,-100.9327778
PI_664600,44.20944444,-103.5497222
PI_664613,31.75166667,-99.96972222
