accession_code,lat,lon
PI_468482,35.19888889,-100.7988889
PI_435370,34.25638889,-99.51638889
PI_468505,29.61666667,-95.64583333
PI_468502,29.63083333,-95.03333333
PI_468467,30.97194444,-102.8855556
PI_435456,35.28805556,-102.0613889
PI_435441,29.44777778,-100.9241667
PI_435367,34.25638889,-99.51638889
PI_468445,29.8475,-94.89055556
PI_468481,35.2325,-100.5994444
PI_468515,28.02027778,-97.05416667
PI_468520,27.38333333,-97.83861111
PI_435366,34.25638889,-99.51638889
PI_468474,34.87444444,-102.2813889
PI_435426,28.2975,-96.93861111
PI_435407,34.42638889,-100.2036111
PI_468452,26.30361111,-98.63222222
PI_468476,31.27277778,-102.6922222
PI_435436,27.39388889,-98.32305556
PI_468512,28.455,-96.88777778
PI_468458,28.21583333,-99.61666667
PI_468463,29.80833333,-101.5583333
PI_468497,33.5975,-95.94805556
PI_468464,29.93694444,-101.9625
PI_435495,35.07888889,-101.2791667
PI_435408,34.25638889,-99.51638889
PI_435410,33.995,-98.825
PI_468459,28.51138889,-100.3125
PI_468478,35.22194444,-101.4375
PI_435445,30.07722222,-102.3541667
PI_468454,26.92555556,-99.26972222
PI_468503,29.41833333,-94.96055556
PI_435409,34.25638889,-99.51638889
PI_435497,34.28861111,-99.71055556
PI_586815,47.8,-103.3333
PI_586807,47.4333,-98.7
PI_586880,43.3333,-99.7833
