accession_code,lat,lon
PI_413159,32.27,-106.8002778
PI_435415,30.91055556,-94.83305556
PI_435435,27.22666667,-98.13638889
PI_435437,27.83083333,-98.61666667
PI_435442,29.70277778,-101.35
PI_435457,35.37027778,-102.0938889
PI_435462,35.36833333,-102.3938889
PI_435463,35.90527778,-102.4136111
PI_435468,36.35,-104.7930556
PI_435470,36.35,-104.8697222
PI_435473,36.17333333,-105.0205556
PI_435552,35.96055556,-83.92083333
PI_435598,36.11111111,-111.2338889
PI_468447,28.85888889,-96.99583333
PI_468466,30.66055556,-102.675
PI_468473,34.5475,-102.85
PI_468475,34.70166667,-100.1863889
PI_468477,35.19222222,-102.1072222
PI_468551,32.81944444,-104.7652778
PI_468554,32.92333333,-105.4091667
PI_468558,32.90388889,-107.3122222
PI_586823,44.5,-105.4166667
PI_586827,44.73333333,-106.8166667
PI_586833,44.1,-103.2333333
PI_586860,39.16666667,-95.01666667
PI_586865,40.13333333,-96.36666667
PI_586868,41.08333333,-96.01666667
PI_586877,41.16666667,-100.7666667
PI_613713,41.78611111,-104.2641667
PI_613714,40.87138889,-104.2247222
PI_613742,46.86666667,-96.78333333
PI_649808,45.83472222,-100.0688889
PI_649826,34.69805556,-118.1358333
PI_649830,35.33333333,-118.6666667
PI_649833,36.09805556,-119.5594444
PI_649837,36.66666667,-119.8333333
PI_649838,36.74777778,-119.7713889
PI_649839,36.74777778,-119.7713889
