accession_code,lat,lon
PI_413049,37.25777778,-120.9977778
PI_435451,32.32333333,-104.1333333
PI_435483,35.20944444,-102.2
PI_435545,34.13333333,-109.2852778
PI_435555,37.58138889,-101.3547222
PI_435557,38.4825,-100.9066667
PI_435562,40.03166667,-105.27
PI_435596,37.16666667,-113.2833333
PI_468484,35.29111111,-99.63972222
PI_468559,32.75694444,-107.2638889
PI_468589,36.20777778,-119.3463889
PI_494567,28.25,-97.68333333
PI_531015,42.83333333,-117.5
PI_531020,47.38333333,-119.4833333
PI_547165,40.86666667,-89.03333333
PI_547167,39.81666667,-89.65
PI_586812,48.15,-102.35
PI_586816,47.71666667,-104.2
PI_586817,46.66666667,-105.2666667
PI_586818,46.33333333,-105.8333333
PI_586819,45.83333333,-105.6666667
PI_586820,45.75,-105.6666667
PI_586822,44.93333333,-105.4166667
PI_586824,44.3,-105.5
PI_586829,43.66666667,-106.25
PI_586834,43.76666667,-103.2166667
PI_586836,43.05,-104.25
PI_586841,40.41666667,-104.5
PI_586845,39.25,-103.6833333
PI_586851,38.46666667,-100.9
PI_586854,38.1,-99.85
PI_586857,38.66666667,-98.2
PI_586858,38.7,-97.51666667
PI_586859,38.66666667,-96.66666667
PI_586862,39.25,-95.51666667
PI_586863,39.55,-95.16666667
PI_586867,40.96666667,-95.93333333
PI_586876,40.66666667,-100.3333333
PI_586878,42.05,-100.9666667
PI_586879,42.91666667,-100.2
PI_586884,44.01666667,-97.15
PI_586887,45.5,-98.11666667
PI_592308,49.465,-112.5955556
PI_592311,50.39361111,-108.4802778
PI_613735,33.90055556,-117.2555556
PI_613736,35.37333333,-119.0177778
PI_649812,32.72527778,-114.6236111
PI_649825,34.36666667,-118.2
PI_649832,35.59416667,-119.34
PI_649842,37.63916667,-120.9958333
PI_649854,43.06666667,-96.5
