accession_code,lon,lat
PI_586867,40.9666667,-95.933333
PI_435483,35.2094444,-102.2
PI_494567,28.25,-97.683333
PI_586858,38.7,-97.516667
PI_586863,39.55,-95.166667
PI_586862,39.25,-95.516667
PI_586859,38.6666667,-96.666667
PI_586854,38.1,-99.85
PI_592308,49.465,-112.59556
PI_592311,50.3936111,-108.48028
PI_586857,38.6666667,-98.2
PI_586879,42.9166667,-100.2
PI_435555,37.5813889,-101.35472
PI_435557,38.4825,-100.90667
PI_586851,38.4666667,-100.9
PI_586878,42.05,-100.96667
PI_586876,40.6666667,-100.33333
PI_468559,32.7569,-107.2639
PI_586829,43.6667,-106.25
PI_586841,40.4167,-104.5
PI_586820,45.75,-105.6667
PI_586818,46.3333,-105.8333
