accession_code,lat,lon
PI_435412,33.64916667,-97.3375
PI_435531,33.60527778,-101.7916667
PI_435542,34.25416667,-110.0291667
PI_435586,41.05,-121.3833333
PI_435601,34.13333333,-109.2833333
PI_494566,27.58583333,-97.79888889
PI_531018,47.51666667,-120.4833333
PI_586825,44.66666667,-105.75
PI_586855,38.16666667,-99.6
PI_586870,41.1,-97.66666667
PI_586885,44.35,-97.55
PI_592306,49.95222222,-112.7802778
PI_613772,42.22916667,-96.19361111
PI_613775,42.00361111,-96.1375
PI_613785,40.89722222,-95.79388889
PI_649816,32.97861111,-115.5294444
