20,95,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Isolate,pop,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20
CH2,1,356,186,303,224,216,283,213,314,224,330,215,227,370,221,248,148,206,302,312,150
CH12,1,0,186,0,0,216,283,0,339,224,334,227,215,370,221,245,151,202,280,316,147
CH24,1,0,186,0,224,216,0,213,0,0,0,0,0,0,0,0,151,202,0,316,147
CH34,1,0,186,0,0,0,289,213,0,224,0,227,215,370,221,245,151,198,280,316,150
CH42,1,0,186,303,224,216,292,213,314,224,330,225,222,370,221,245,148,198,286,0,147
CH59,1,0,186,0,0,224,0,213,0,224,0,227,215,370,221,245,151,202,280,316,147
DB05,2,353,186,0,0,216,283,213,0,220,0,215,0,367,217,245,148,202,280,316,150
DB19A,2,353,186,303,0,216,286,213,314,224,330,215,222,370,217,248,148,0,0,0,150
DB1412,2,0,186,0,0,0,0,213,0,224,0,223,227,373,225,0,0,0,0,0,0
DB1437,2,0,186,0,224,216,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0
DB1470,2,356,186,294,218,212,280,209,349,224,334,227,222,370,221,0,0,0,0,0,0
DB1605A,2,353,186,303,224,224,283,213,349,224,330,226,222,370,225,0,0,0,0,0,0
CH3,1,0,186,0,213,219,283,213,314,216,330,215,219,373,213,0,0,0,0,0,0
CH14,1,364,186,303,224,224,289,213,314,224,334,219,219,373,221,254,151,202,280,316,150
CH25,1,0,0,0,0,216,289,215,348,224,334,227,215,370,221,245,151,202,0,0,147
CH35,1,360,186,303,0,214,283,213,349,224,0,225,215,370,221,0,0,0,0,0,0
CH43,1,0,186,0,224,214,289,213,314,224,330,227,222,370,221,245,148,198,286,316,147
CH60,1,0,186,294,224,224,0,213,0,224,0,0,222,0,221,245,151,202,280,316,147
DB07,2,0,0,0,0,0,283,213,0,224,0,219,222,373,225,248,151,202,0,0,150
DB23B,2,353,186,303,224,224,286,213,314,224,330,215,227,370,221,245,148,198,302,316,150
DB911,2,0,0,0,0,216,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0
DB1441,2,0,186,303,0,0,0,213,349,224,330,227,222,370,221,0,151,202,0,0,153
DB1483,2,353,186,294,224,216,286,213,352,224,334,215,227,373,217,245,148,198,280,316,150
DB1606B,2,353,186,303,224,224,283,213,348,220,330,219,219,373,217,245,148,198,280,316,147
CH5,1,353,186,303,224,216,292,213,314,224,330,215,222,370,221,0,0,0,0,0,0
CH16,1,364,186,303,224,224,289,213,349,224,334,227,215,370,221,0,0,0,0,0,0
CH27,1,0,186,0,224,216,283,213,314,224,330,225,227,370,225,245,151,198,0,312,150
CH36,1,353,186,303,224,224,280,213,352,224,330,225,219,370,225,245,151,202,280,0,150
CH44,1,360,186,303,244,224,283,213,330,232,330,215,222,370,221,0,0,0,0,0,0
CH65,1,0,186,303,224,216,286,213,0,0,0,0,0,0,0,245,148,198,299,316,150
DB08,2,0,186,0,0,216,283,225,352,224,334,219,227,376,225,248,148,0,0,0,147
DB25,2,353,186,303,224,216,286,213,0,0,0,0,0,0,0,245,148,198,280,316,147
