# Data for individuals that have both genotypes and trait values
# N = 140
# 
# KCF
# 04/06/21
ind_code	Pal	Ste	ol	lin	sat	unsat	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	pop_code	usda_pop	deme	block
413160-1	6.01804	4.4316	31.37059	58.17977	10.44964	89.55036	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	1
413160-12	5.613	1.204	23.942	69.241	6.817	93.183	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	2
413160-13	6.12979	2.79922	18.73769	72.33331	8.92901	91.071	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	2
413160-15	4.784	1.249	30.378	63.588	6.033	93.966	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	3
413160-16	5.11437	2.51063	36.84371	55.53128	7.625	92.37499	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	3
413160-19	6.455	1.09	47.924	44.531	7.545	92.455	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	3
413160-2	4.244	1.168	46.541	48.047	5.412	94.588	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	1
413160-20	5.13781	2.53704	23.17374	69.15141	7.67485	92.32515	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	4
413160-21	4.65686	3.35822	33.06487	58.92006	8.01508	91.98493	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	4
413160-22	4.9993	3.00491	31.36341	60.83237	8.00421	92.19578	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	4
413160-24	4.76658	2.43604	31.79967	60.99772	7.20262	92.79739	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	4
413160-3	5.40216	2.47755	39.43263	52.68766	7.87971	92.12029	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	1
413160-7	4.61491	2.85278	37.76184	54.77047	7.46769	92.53231	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	1
413160-8	5.39	1.098	38.456	55.056	6.488	93.512	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	2
413160-9	5.118	1.448	21.765	71.668	6.566	93.433	31.03972222	-104.83027778	168	172	46	7314	346	-24	370	248	126	259	71	298	58	6	74	160	21	138	32	TX1	413160	south	2
468476-1	5.25849	2.58579	34.90581	57.24991	7.84428	92.15572	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	1
468476-10	5.261	1.342	23.401	69.996	6.603	93.397	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	2
468476-11	4.621	1.615	28.718	65.045	6.236	93.763	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	3
468476-12	4.623	1.343	36.686	57.347	5.966	94.033	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	3
468476-15	5.01731	3.17042	34.45192	57.36036	8.18773	91.81228	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	3
468476-19	4.76329	2.81113	35.15929	57.26629	7.57442	92.42558	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	4
468476-2	5.37699	2.55464	20.76853	71.29984	7.93163	92.06837	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	1
468476-4	3.979	1.579	46.981	47.461	5.558	94.442	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	1
468476-5	4.87853	2.64453	34.52084	57.9561	7.52306	92.47694	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	1
468476-6	4.944	1.216	23.307	70.534	6.16	93.841	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	2
468476-7	4.92642	0.58571	27.73804	66.74982	5.51213	94.48786	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	2
468476-8	4.78321	2.85377	36.24256	56.12047	7.63698	92.36303	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	2
468476-9	5.33653	2.17801	37.77975	54.70571	7.51454	92.48546	31.27277778	-102.69222222	185	170	44	7772	363	-19	382	239	102	281	81	313	60	9	54	132	32	101	36	TX3	468476	south	2
468477-12	4.83134	3.45113	43.34489	48.37264	8.28247	91.71753	35.19222222	-102.10722222	136	159	41	8133	326	-60	386	241	31	241	31	479	80	12	60	219	40	219	40	TX4	468477	south	3
