# This is the genomic relatedness matrix (G) used to specifity the 
# variance-covariance matrix in the animal model. The rownames are 
# the individual codes.
# 
# KCF
# 04/06/21
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140
413160-1	1.13039692201312	0.271150436097514	0.384303162258715	0.509281807009912	0.262690081776413	0.370330100633752	0.332882900620003	0.329503532799558	0.287982736987232	0.5324117050374	0.365829441356917	0.390521320032342	0.419869588953299	0.332463289891748	0.50715764461601	0.062895094945015	-0.00496541717241132	-0.060892847484577	-0.0226269911304261	-0.0255915434560714	0.0248430118554356	0.036313890561274	0.0596892965784102	-0.0603802056784439	0.113109363200328	-0.009543030117536	0.0891627640704367	-0.0108259602062701	-0.0253306592149654	0.120149588199528	-0.00301787437409613	0.0148956362851575	0.0690395653676285	0.0908971726813144	-0.0545264571656935	0.182089651773576	0.106432563081548	0.113550462890012	0.0698510373814332	0.15014880240207	0.0335294636277852	-0.0271307741245828	-0.171623714638874	0.0315276486204387	-0.0522105615978772	-0.239091882555852	-0.0222676412886676	-0.215415333023274	-0.281217019619228	-0.232729487047768	-0.118060801633666	-0.132287015453504	-0.148311482119751	-0.160000236519475	-0.152497155525168	-0.154707742305951	-0.0788524720548194	-0.109453338781759	-0.105779844125861	-0.197678067309674	-0.0155906000364746	-0.10349017558926	-0.141784769170826	-0.156650038910589	-0.117223614589102	-0.16691994773922	-0.0991793898275779	-0.0484111087441988	0.00772732233324716	-0.0952199255890085	-0.0865054775023193	-0.00922092599314449	-0.0271873457232273	0.00876729767755594	-0.0494720187927623	0.0119483446519091	-0.0298566564832093	0.0692876163192982	-0.248831398373966	-0.136525195460614	-0.115168991426741	-0.149674285521555	-0.150020322873194	-0.111546444169485	-0.194882851376611	-0.132948062421369	-0.0522542565726783	-0.115261395333028	0.0476912535828311	-0.0469171722102891	-0.0636499540220628	-0.168804068293774	-0.0269039372021549	-0.19063418582353	-0.123297978924221	-0.0937611220747819	-0.0598625183777012	-0.0775371248264945	-0.0384746372307887	-0.112820212865298	-0.120723095664152	-0.0903036195316294	0.00220432086216938	-0.0983746103479007	-0.00167885007359481	-0.0562779453246511	0.129247569962028	-0.095588080361849	-0.0294436814376314	0.0749003272078141	-0.0456291501681477	-0.124198680486269	0.0564464310227315	-0.160821420866955	-0.174460211787009	-0.242633304275921	-0.0713765661010526	-0.00105229157982901	-0.093732661783611	0.0140393689731986	-0.0338268183776628	-0.0643057640468732	-0.0202498886113463	-0.059313779549089	-0.117684690270369	-0.196739401476772	0.0955705439469892	0.0297478383600378	0.100401272519596	-0.0646266034263931	0.0819847599340693	0.0173360430908734	-0.0128302417797045	-0.145397888067664	-0.00462821539915369	-0.0417489587491226	-0.0450318841602274	-0.013168676257271	0.0702562590281263	0.0468943926815521
413160-12	0.271150436097514	1.11038974279812	0.447211025489939	0.329963524093819	0.313486637700271	0.445349271172342	0.639224685796508	0.44206440105821	0.411447136755285	0.639831802568465	0.57407299227653	0.489763105185663	0.616001832565547	0.52980330930196	0.327839361699918	0.0814067560680195	-0.0071449392548728	0.0274454061593431	0.0523921794081637	0.170540700156177	0.0393056458571961	-0.0627560899801141	0.0343191865470565	0.143332496464314	0.115460689894723	0.0972792135662949	0.0672914761500998	0.168664127321756	-0.071424561750034	0.0256104564349965	-0.0733343915238964	0.0535808849016498	0.0350569701399258	-0.100532417542144	0.0204927133728963	0.00277136885748339	0.0118934313170159	-0.0339647468808392	0.072202364075828	0.00716444140807484	-0.0821826729978251	-0.114089447358605	-0.0769127782624089	-0.0433197173062177	0.0228086089407126	-0.176184019324628	-0.112982149692979	-0.128284855177318	-0.141816689183589	-0.121376394587081	-0.123996158886416	-0.174556294628351	-0.158071462732722	-0.165935593772225	-0.17507466886214	-0.164467722918922	-0.089318678084426	-0.131324626702095	-0.18073268527708	-0.110547589463718	-0.126771887885229	-0.0769162342801341	-0.0470738327943612	-0.0619391025341235	-0.143625751286295	-0.13729639667644	-0.142432041039367	-0.111147167363489	-0.00656350705658019	-0.0731768330567384	-0.0357089215784612	0.0173530153159819	0.0114979028932649	-0.0373266048575126	0.0694615321984345	0.0385222859610354	0.19049820174377	-0.00102890083050196	-0.0648104620690839	-0.0407822324183098	0.0363426463162643	-0.0262098857535021	-0.0265559231051411	-0.130299334146236	0.0414079375179555	-0.14270804303434	-0.255795154103502	-0.0811069954933919	-0.10740441471853	-0.169177740700569	-0.206634315016058	-0.166452741599379	-0.163014065082276	-0.212505473743867	-0.0725014230003627	-0.0792984880730214	-0.25129210860116	-0.232632793127855	-0.104966531020368	-0.20735934462983	-0.191039612813953	-0.0391812623585674	-0.140780040131826	-0.161110668967191	-0.116615973092637	-0.138705769781817	-0.0909354836530181	-0.222636510688258	-0.0845992815264125	-0.0483186900621858	-0.0560953561977542	-0.0612908172550453	-0.0502040080491661	0.0186686666610713	-0.156879179841663	-0.0872970431726952	0.00364260443753717	0.0376329570366633	-0.0959121838660725	-0.145587148105019	0.0366615033840707	0.030405172329592	-0.0351598117105619	-0.0736046089389163	-0.0547768270391456	-0.0338226818430362	-0.0238974278489098	0.095774099534847	-0.0796232358131324	-0.0993154240707311	-0.0649767634865798	-0.0894669350474575	-0.136275376002257	-0.211889781857244	-0.119565338418196	-0.116527536485847	0.0905438229151915	-0.0675492627394846	0.0968302003372527	0.00462511350670438
413160-13	0.384303162258715	0.447211025489939	1.22648565355626	0.29778056256663	0.353971520017277	0.340498465800958	0.436275646168233	0.323894512581496	0.500377248301755	0.485327992169653	0.420776957675684	0.481802758273206	0.365815339505773	0.411633420825246	0.392546858631655	-0.0367631324086947	0.0333399430621333	-0.00594533116581032	0.0202092178809747	0.053578587477427	0.1161244500963	0.0503966361810869	0.171694527322989	0.111149534937125	0.143834264904363	-0.0196828991124548	-0.0738932511433816	-0.0936336730453838	-0.0309396794330279	0.0176501095225392	0.0519296419446705	0.0456205379891925	0.0270966232274685	0.0731768451558861	-0.0116902481542926	-0.0173002853623396	0.137157464785583	-0.00559117187119898	0.0884646317781025	0.0597606310324468	0.103637897007571	-0.0978271796563308	-0.109095739789598	-0.0633913715260408	0.0511821839503529	-0.0872539077781583	-0.00365404689199839	-0.0514660509382147	-0.05671120099734	-0.15355935611427	-0.123669821851728	-0.00467165529054191	-0.0570300438788866	-0.00816226174178142	-0.223193561056916	0.0455754617012052	-0.161660184893933	-0.0423945151556261	-0.0718310692536788	-0.251732316757199	-0.0620643909534909	-0.0969878884999571	0.0297449714447424	-0.0335655275244833	-0.115252176276655	-0.169479358203629	-0.16250369525919	-0.119107514275947	-0.0871916978132324	-0.141693716506025	0.0532211899680082	0.118394434169817	0.0640940925176368	-0.0816208736920672	0.013055956056514	0.0668958609706757	-0.0233543693939059	-0.021100555050325	-0.266551725899394	-0.157744345097059	-0.169223240874267	-0.106838076510154	-0.0950728065544275	-0.0974636985496719	-0.115712720443112	-0.1143344680247	-0.154753735249667	-0.0890673424058491	-0.0790308397088896	-0.104470243768832	-0.105592896162223	-0.0896339373602753	-0.126353806125491	-0.172020591426861	-0.165240921064381	-0.147815371522308	-0.150250689747324	-0.083146145044557	0.0528068010100754	-0.0942066184686293	-0.138443423189581	0.130703376979242	-0.0397386212779905	-0.156959708572283	0.0290460516304402	-0.134554809386909	-0.147341059794938	-0.198087559038838	-0.141004857668333	-0.0114062077423164	-0.152659477621993	-0.141919008011697	-0.0944982768837208	-0.0377369094808492	-0.220934002704025	-0.211908402571886	0.0320161794471774	-0.0793291556420864	-0.079649916163798	-0.0808796511732809	-0.0439666873725815	-0.0381117111196944	-0.0500815234441404	-0.142121492388203	-0.0748484812589686	-0.194767963164325	-0.0356823981215878	0.00749666205775323	-0.0308516695489814	-0.0868777797286777	-0.0404278118371603	-0.056631299450893	-0.115551047713059	-0.0420051425194342	0.0260966863048814	-0.0806422911356292	-0.0869748263003873	-0.0308890037826993	-0.0201319123414971	0.00495145054139215
413160-15	0.509281807009912	0.329963524093819	0.29778056256663	1.06657812376013	0.188278789391694	0.443103550488166	0.537031676304698	0.388316620795864	0.237794059217245	0.463141183380268	0.569978217041612	0.413925013381921	0.478682676949604	0.465793276282991	0.470999903305305	0.125473961539971	-0.0360180036358641	0.0724371389066661	0.0381057260177954	0.0350705990909767	0.0836560998517408	-0.0043746995262874	0.0441847731702465	-0.00424891190825205	0.16166019844001	0.03447695634529	0.0772276373744633	0.00897141164182423	-0.0373363605121123	0.0596986576729182	-0.0392461902859746	0.0634464715248398	-0.0761905163105425	-0.0906668309189541	-0.00597562192601112	0.000525648173307591	0.118649476399132	0.109125220123375	0.118401872621116	0.126031793797557	0.0730186013137549	-0.0445918514739574	-0.0307132697171214	-0.0455654379903936	0.00660252639842811	-0.118797730747346	0.0262831939510147	-0.0839344011827737	-0.0994418039985218	-0.136657949853994	-0.0825458009767208	-0.0734739274571983	-0.0652757795087139	-0.148707850477261	-0.109401696337713	-0.010190975882714	-0.0599796274820964	-0.0376044162027162	-0.119808863388246	-0.0885706955331623	-0.0563497647252094	-0.175981838822063	-0.147134539212835	-0.199258258150066	-0.109537550048373	-0.175876039282714	-0.291862503962675	-0.137615502662397	-0.0227695895988647	-0.0875338610482799	-0.0640263114281115	0.00299598732444034	-0.00285912509827674	-0.0414213800924312	-0.116302852646972	-0.0969478151041645	-0.0679340269458307	0.0572819150221513	-0.0670561827532598	-0.116620324222052	-0.066618156187059	-0.175640348676811	-0.17598638602845	-0.105709434179499	-0.172403685302403	-0.122580203654527	-0.0166983891303726	0.000501907698621602	-0.0136842042191505	0.0708026847625713	0.0575687250618144	-0.109066453022097	-0.0488549965430251	-0.154194657891214	-0.0523735836205498	-0.154212052601392	-0.0252720449961276	-0.0047636749720806	-0.0756274804180387	-0.101527826823085	-0.110355236897311	0.0497897975052198	-0.0116504349857203	-0.0189452292383487	-0.124535371687777	-0.00772711008496886	0.0158205614290985	-0.0479617723975382	-0.0504405056873174	0.056588300469188	-0.147869378669083	-0.0886836798293242	-0.00492902677925	-0.141948576294232	-0.167698674521652	-0.219229610926342	-0.0610087073342106	-0.00279574012035289	-0.100006959100991	-0.0639782449130051	-0.0745859830663975	-0.166545992547808	-0.130995102918163	-0.101921998788567	-0.107316831503528	-0.165755249596683	-0.0420790792006722	-0.0957904774802579	-0.0614709652427975	-0.119972379105751	-0.126345234897174	-0.0380097325884844	-0.142899406396856	-0.242182740516372	-0.175005438967428	-0.127347031165836	-0.0095168835032823	-0.0978422213986129	0.0200675812581389	0.021852856801668
413160-16	0.262690081776413	0.313486637700271	0.353971520017277	0.188278789391694	1.08014995105058	0.654892448383825	0.290439951071199	0.408173656324413	0.318207631282623	0.472716677453643	0.299163877193381	0.541859287401391	0.256313566330837	0.508023871875529	0.355712929300914	0.0064428822048945	-0.0519392154980716	0.041999890655009	-0.00451340414240092	0.0651898873761487	0.00662267692136325	0.0959893019062308	0.105524320292184	0.231762600602139	0.0101098771146948	-0.0201829065210988	0.0709424291363644	0.123869851078557	0.0654507716172547	0.138263175187553	0.124097478380221	0.0693431451952802	0.111375766970385	0.0242316085177787	0.0483662809738925	-0.0299116000783495	-0.0692347668482804	0.0302427426422545	0.0274080878326293	-0.00129591291302646	0.103137889598927	0.0470085006234151	-0.0127052887393152	-0.0396687643199532	0.0991274057711721	-0.184644373645729	-0.137378434681667	-0.148856516805785	-0.117767744942813	-0.190393285445011	-0.0272793708014456	0.00693964460817988	-0.0575300512875307	-0.202443186068279	-0.114691802699267	-0.0397036968589996	-0.0773810411510163	-0.103451059101099	-0.14839705708916	-0.131119251092185	-0.0988983202842324	-0.0127087447570404	-0.116090723652292	-0.130955993392054	-0.0309730325337382	-0.254758516763834	-0.0708524514161376	-0.131718828991956	-0.0876917052218764	-0.154305031222034	0.125389026403559	0.057337890224344	0.0272601631868953	0.0632148065876786	0.0246672559552358	0.126952390098861	-0.0480769914172815	0.0631785886925918	-0.194383889463843	-0.0785788644394749	0.036168975942308	-0.167894620455627	-0.156129350499901	-0.206965471724608	-0.0677674986222931	-0.114834475433344	-0.106808513428848	-0.125901271736591	-0.115864769039631	-0.0616386850333447	-0.0455363670340377	-0.223358325149943	-0.163187735456232	-0.0756301403765788	-0.105184391936196	-0.160426686238318	-0.1749733117707	-0.156313996297396	-0.0809175867795927	-0.0583727039551759	-0.0299416648319325	-0.117136439662051	0.0203179078501946	-0.133237101366195	-0.032010492315033	-0.147166124102918	-0.063061916052022	-0.0411405714517264	-0.153616172384343	0.0264588436800782	-0.141048177723271	-0.0939737861908781	-0.131332206214462	-0.123016068041054	-0.100320937039011	-0.163963180751067	-0.101708208342491	-0.0556065484359987	-0.0922612308798079	-0.0934909658892907	-0.141357153240152	-0.00227779660624094	-0.0384702235454187	-0.142621499796847	-0.11168241058971	-0.13471143403614	-0.0725163274523293	-0.0293372672729883	-0.164576057338649	-0.0994890944446876	-0.17088126261681	-0.150750828308445	-0.209670576570611	-0.00617122800598073	0.0255966788962373	-0.047857986375829	0.14264000513092	0.101835369189681	0.124703767938249	0.101341901591675
413160-19	0.370330100633752	0.445349271172342	0.340498465800958	0.443103550488166	0.654892448383825	1.18642822299897	0.579749579539026	0.733817206714338	0.268400655144207	0.604579310925715	0.600584812968574	0.770612379332389	0.533511887491298	0.809444807650722	0.525758539245825	0.106710800962098	0.00786697683891901	0.101194680282885	-0.0551724086547385	0.0153829112377325	0.00526093001241039	-0.0246364635256374	0.0522185220427508	0.121399087926894	0.0935272813573027	-0.0215446534300517	0.107763658700252	0.13461941147697	0.0277551027862044	0.19745796481543	-0.0225999562171213	0.116426627515791	0.134236634676164	-0.0982432114648322	0.143894992523866	0.0535058041642584	0.0626278666237909	0.113660146884862	0.0381576482310422	-0.0147689671293451	0.0654422207678766	-0.148134163203391	-0.110957494107195	-0.0773644331510036	-0.0960152580556339	-0.222340042476779	-0.0660723377464245	-0.186552185636836	-0.119129491851766	-0.20386633966133	-0.101308961554594	-0.127646482681797	-0.131559642040678	-0.337029313358255	-0.103942242300854	-0.0895106729974158	-0.01818625152314	-0.044256269473223	-0.149758803998113	-0.144592305308504	-0.0518148379637219	-0.0606666663447137	-0.117452470561244	-0.18076296953047	-0.153447852516349	-0.183452419828592	-0.0674749911178604	-0.120969268593543	-0.0648308375160976	-0.0708876269794265	-0.0334197155011494	0.068087450622757	-0.0225468129515209	-0.0834826280096642	-0.158364100564205	0.101368028575176	-0.146329196785161	0.0497055344762731	-0.0867438706065039	-0.168218584611005	-0.0620832294255715	-0.157145060057214	-0.157491097408853	-0.256772447863025	-0.190242318604904	-0.200975373493857	-0.108170260337801	-0.0667064821087143	-0.0324473647970232	0.00616858979088067	-0.0468981139429904	-0.200497457444165	-0.225106018902014	-0.0769918872855316	-0.118657446152514	-0.101231896610441	-0.140001136757555	-0.157675743206349	-0.167058484840106	-0.0476231435567629	-0.10397125558508	-0.0372178575304596	-0.0537116829029532	-0.0377083898162213	-0.118151390375547	-0.100082641782408	-0.0159784337315115	-0.0425023183606792	-0.128906250127821	0.118488733119035	-0.118187310017492	-0.131669455021928	-0.0358034946644885	-0.160711736872104	-0.210684449714256	-0.213770156889483	-0.163626491788273	-0.0448569880375857	-0.15417951432559	-0.0827414054908778	-0.130607592841739	-0.16108653851095	-0.112499814298566	-0.156094554013165	-0.149378079420761	-0.184518410174556	-0.00121023051708726	0.0177462150475222	-0.129603882325505	-0.102088493195269	-0.203456939887099	-0.113745368126911	-0.231984001084277	-0.128646047988592	-0.157434677623203	-0.100714572267898	0.0443877997630399	-0.0569733727150279	0.0264515625703694	0.0757575400679902
413160-2	0.332882900620003	0.639224685796508	0.436275646168233	0.537031676304698	0.290439951071199	0.579749579539026	1.27018859376519	0.528019480195431	0.352066528204116	0.627066657394567	0.756918529872677	0.515161647786055	0.786736062854329	0.53097923728762	0.547018821218162	0.0873218912609094	-0.0180803185765788	-0.00771258777709457	0.0293454927790918	0.0384922477608123	0.125260724994417	0.105625584212992	0.0476064218400821	0.0112840440689494	0.080302695958285	0.0742325269372231	0.0563560968283938	0.109283518770587	0.0266418246945525	0.0752316136501196	-0.0600471562308707	0.224315115190431	0.0241215908182198	-0.172024333400679	0.118559099817483	-0.0081640104642226	0.0978485104542364	-0.0085662042804478	0.121823521290951	-0.0522161671430945	-0.0567841303974336	-0.137136133987677	-0.148404694120944	-0.114811633164753	-0.0244606923030909	-0.187119398646334	-0.111806221707319	-0.175554156421122	-0.189085990427392	-0.18075700313825	-0.11070892359339	-0.100712522798497	-0.156895534747062	-0.297984046167589	-0.113342204339651	-0.114846565703799	-0.088142750098766	-0.0695921621796065	-0.082666298832494	-0.0488151249412293	-0.113484652592203	-0.0394063843723768	-0.0458979048087014	-0.0486518672410979	-0.130338515993269	-0.0876752394613173	-0.112294291231745	-0.134193853992561	-0.0659441156077495	0.000666938773116462	-0.179868681281191	0.0669741725311051	-0.0236600910431728	-0.0482619841792187	-0.171588685963222	-0.0329696298974997	-0.111108552954715	0.0728148709993529	-0.160524992542351	-0.0517176117400158	0.0254072669945583	-0.0371452650752081	-0.0374913024268471	-0.226013864619503	-0.0179726710332138	-0.0809755785118509	-0.205208602827647	-0.0557084528930005	-0.0577832575034067	-0.0711113542559829	-0.0237887774199107	-0.141054198998987	-0.0397596699622258	-0.150773009221378	-0.1076594169368	-0.0902338673947274	-0.10478049292711	-0.170900328605366	-0.0432340664978792	-0.109292958185244	-0.153529762906195	0.107330353315482	-0.066936268301971	-0.0630442825226049	-0.0791061231848803	-0.113307227181426	-0.0897595556673583	-0.124570124243671	-0.107645968155484	-0.0108088401544285	-0.236589037822582	-0.181227962343044	-0.0490280800635063	-0.0528232491974638	-0.313150246851759	-0.231456802875425	-0.0436266968062663	-0.142860724588164	-0.252183250876168	-0.217079063963554	-0.0832756417039277	-0.0774206654510407	-0.179319571413292	-0.181430446719549	-0.102046128282949	-0.190093748853132	-0.0711667290927133	5.95690615802e-05	-0.0784473078274726	-0.0860281887777057	-0.0847525131056331	-0.0729087627444133	-0.168162432928677	-0.174379931949486	-0.154723332354634	-0.0669063792707238	-0.0293933221728069	-0.102707256675922	0.110117435630278	0.0300236561070958
413160-20	0.329503532799558	0.44206440105821	0.323894512581496	0.388316620795864	0.408173656324413	0.733817206714338	0.528019480195431	1.10598286312855	0.251796701924745	0.443847445815827	0.596092167056477	0.560227509195074	0.577464470808665	0.769826015614492	0.543639453397718	0.0428693943111374	0.062081812912909	-0.0232032629049048	-0.000957572580748486	0.035112879940368	0.0855474352518749	-0.0915347005253057	0.0235032615159229	0.141129056629529	0.0648120208304749	-0.0744825285716112	0.0408654217005836	0.166460687486971	-0.0494053869700868	0.120297475059139	-0.0392039094365833	0.0877113669889628	0.0570761449198729	-0.12695847199166	0.0788458100749409	-0.0478773002067644	0.0702465280190605	-0.0119455721008921	0.033665002318946	0.0170723088806562	0.109394804085244	-0.128404194500755	0.0419968549764648	-0.0576344644483681	0.0206051691059281	-0.166276151852046	-0.0667403602982998	-0.1668222169342	-0.228799280169934	-0.19624767826606	-0.0535317548770057	-0.140425812541038	-0.220831439104335	-0.25291818475857	-0.0440537283159007	-0.227227699290536	-0.055188195997113	-0.0971941446147825	-0.0056231008637394	-0.0643058000690394	-0.0926414057979157	0.017770784344008	-0.0613885799365115	-0.0399199277541764	-0.0731613472768847	-0.0910546072817616	-0.0961902516446883	-0.0891279925835424	-0.0451008688134622	-0.063268965584157	-0.00157843949114827	-0.0454069610556318	-0.0149281515562513	-0.0879752739217604	-0.07807759532474	-0.0121263831032124	-0.0902653061604282	-0.0880114918168473	-0.103347823825966	-0.245379074367296	-0.123307788514276	0.00792059633381091	-0.00453674832519394	-0.168836695903118	-0.0455746534683897	-0.132800175561759	-0.052106369713068	-0.0833104353281763	0.0236165258277097	-0.0104353634285814	-0.0271681452403551	-0.168656181434163	-0.0441044318434022	-0.0814845331976277	-0.135261399371976	-0.0572793132930743	0.012953212326104	-0.0895005452742502	-0.082947356240421	-0.0157818675467616	-0.0115734430382499	-0.0863311093117983	-0.0945382507371469	-0.0300897284209517	-0.191487256771617	-0.0924639803871384	0.00375153497112398	-0.127949492064115	-0.159470565205392	0.0983123799024365	-0.143077947184099	-0.220941252085586	-0.0645187551913165	-0.177315690091566	-0.171193926983813	-0.162168326851675	-0.10756260116354	-0.0614609412570479	-0.170783467545052	-0.159901895247169	-0.147211546061201	-0.141356569808314	-0.0526113003136128	-0.0879193560810667	-0.117536803410759	-0.217695731288308	-0.00187825306896265	0.0330141231632333	-0.178717134106844	-0.11486782305451	-0.218085324297083	-0.110588767318565	-0.2046047856612	-0.165647992462565	-0.145991392867713	-0.0733353568448215	0.015672539236212	-0.0455300879595375	0.0946267605024681	0.0266442882866515
413160-21	0.287982736987232	0.411447136755285	0.500377248301755	0.237794059217245	0.318207631282623	0.268400655144207	0.352066528204116	0.251796701924745	1.15495787608695	0.352673644976073	0.433458298170493	0.33703710377226	0.33005145077112	0.278979073631666	0.441562121048563	0.0196242301083483	-0.00242394567252024	-0.0295979125930979	-0.000742280621648614	0.0662599279722366	0.0076927175174512	0.00252144013906754	-0.0266300194927523	0.172276104661398	0.0475138396328803	0.114111514456013	0.023567240502989	0.0522720478304501	-0.0303696462455839	0.0545540646320807	-0.0443907833268122	0.0461905711766365	-0.0934464166587458	-0.0473661947303282	-0.0353428295815803	0.0559375916692992	0.0771709614361974	-0.0292437532984867	0.0284781284287173	-0.0123371796243042	0.00731747173608829	-0.012477995317326	0.0368099810862361	-0.00226480180176776	0.172865290211455	-0.0866838745907144	-0.112085779470847	-0.123563861594966	-0.201476855498286	-0.165100630234192	-0.0383206375127235	-0.0404355440251955	-0.0201260887693452	-0.128705301627996	-0.125733069410545	-0.01441104164818	-0.10053361516966	-0.102381018505011	-0.135215709185706	-0.154271825110829	-0.0736056650734128	-0.0358613187756841	-0.090798068441472	-0.0329954943370393	-0.138904757703943	-0.132575403094088	-0.118227640049513	-0.203316632240063	-0.0502877427036909	-0.0926784540891175	0.0295686085407205	-0.00214860571639718	0.113109354934544	-0.0810508405046234	0.0136259892439579	0.00690935762129048	0.049883507637733	-0.00841921455551528	-0.229647770789853	-0.0896201311507528	-0.0959853638426281	-0.10626804332271	-0.106614080674349	-0.169561509206423	-0.0303635361041077	-0.0410965909930609	-0.176475528555491	-0.173276460369966	0.0305409592448468	-0.145347795588817	-0.020243711823218	-0.101175211480197	-0.00273991174292434	-0.123005329009954	-0.0920030440327419	-0.0988001091054005	-0.222348500404075	-0.0946874191644789	-0.00717970233930984	-0.0815252779738196	-0.0773168534653079	-0.0191759406070362	-0.0391685880905467	-0.0594992169259122	-0.0914969882557742	-0.0734282396626354	0.0227872756956268	-0.136960989314565	-0.116212209866157	0.0239564842790295	-0.188423366356646	-0.117126360209522	-0.190818702155204	0.011278352936058	-0.196141354901849	-0.199227062077077	0.117365363786182	-0.0182025859178133	-0.200192956050012	-0.0924209252932028	-0.0191740395704059	0.0230148586045786	-0.0737341048714281	-0.0809949226639296	0.0105007030800361	-0.0609735495958569	-0.0108897503194122	0.11706846101149	-0.0908381728983666	-0.134752975770697	-0.0398577786497164	-0.104506495492912	-0.0786470926035173	-0.0777690312540878	0.0630006414144228	-0.0467879457797411	0.0468195872680807	0.0181262586342079	0.162107730456434	0.017632791036202
413160-22	0.5324117050374	0.639831802568465	0.485327992169653	0.463141183380268	0.472716677453643	0.604579310925715	0.627066657394567	0.443847445815827	0.352673644976073	1.24936226645644	0.537692349259858	0.612659223016938	0.610814340743385	0.628476812518504	0.535514630682754	0.119523722747734	0.00674941281010991	0.0808850116294369	0.0461465654139008	0.172323744913794	0.0271476174552553	0.000965056945153682	0.0326305168359113	0.048225082763004	0.127525276107514	0.0124533413201591	0.165964979366643	0.120172176997717	0.0393602487738754	0.0376750426477873	-0.0109948102294502	0.0172002418849772	0.0489513222049085	-0.0279112947925242	0.00833468497095549	0.14989010130349	0.0724032467592699	0.101042678257802	-0.000512200862941996	0.00894748616569178	-0.019843091703379	-0.0275272514494274	-0.111463655426889	0.00690855668086249	0.0851481902351586	-0.268080101542924	-0.0627538757058984	-0.195958322780883	-0.236924102884898	-0.252817730210488	-0.170658343358262	-0.233329786407563	-0.192622339897202	-0.224709085551437	-0.252930004528497	-0.145432600126353	-0.148092169863638	-0.105318967329747	-0.215283562441561	-0.176291617822709	-0.119848072400025	-0.082103726102296	-0.168233626962595	-0.0964899796986041	-0.022559399307212	-0.0870681226893601	-0.196064762090992	-0.232306961531723	-0.0359736134934738	-0.0904756321862661	-0.106593720665039	0.0796925966104279	-0.168388661959606	0.061346898359031	-0.037757188810241	-0.0929190496623718	-0.0378335923385634	0.0613106804639441	-0.208363104999857	-0.109997975246063	-0.0242606113151399	-0.0575494314349689	-0.0457841614792422	-0.225406747847546	-0.114256012720183	-0.189370227506186	-0.107711027596763	-0.0672126434284093	-0.0208422188093522	0.00566242847118591	-0.144294733721612	-0.213114926071225	-0.15512485553634	-0.12594327783469	-0.167608836701672	-0.155062662765445	-0.104173376155153	-0.194515826448141	-0.0426269497259221	-0.120797148720653	-0.237701797285799	-0.0217880881825678	-0.102663073452111	-0.159327624209574	0.0426140666607352	-0.0368209350822599	0.0561832487929887	-0.130933544051493	-0.150343309885403	0.0901875571874721	-0.211759306435893	-0.107953001726892	-0.0241983486768175	-0.0522161324255067	-0.191430057006144	-0.291406222640297	-0.0430195800343092	-0.0453631493572806	-0.142574368337919	-0.0711362595032068	-0.058445910317239	-0.0283683194496203	-0.118155918104506	-0.15660071533286	-0.0772163968962604	-0.128930095544346	-0.0342256903986587	0.0491119150630006	-0.0899514983628813	-0.0733097646983827	-0.04454053740156	-0.143528318658825	-0.0795052279951402	-0.173772815177529	-0.112641522932993	-0.158048950230106	-0.0720906639027262	-0.0415436033671361	0.074390630480138	0.00640815826432127
