pop_code,ind_code,X
TX1,413160-1,10.44964
TX1,413160-12,6.817
TX1,413160-13,8.92901
TX1,413160-15,6.033
TX1,413160-16,7.625
TX1,413160-19,7.545
TX1,413160-2,5.412
TX1,413160-20,7.67485
TX1,413160-21,8.01508
TX1,413160-22,8.00421
TX1,413160-24,7.20262
TX1,413160-3,7.87971
TX1,413160-7,7.46769
TX1,413160-8,6.488
TX1,413160-9,6.566
TX3,468476-1,7.84428
TX3,468476-10,6.603
TX3,468476-11,6.236
TX3,468476-12,5.966
TX3,468476-15,8.18773
TX3,468476-19,7.57442
TX3,468476-2,7.93163
TX3,468476-4,5.558
TX3,468476-5,7.52306
TX3,468476-6,6.16
TX3,468476-7,5.51213
TX3,468476-8,7.63698
TX3,468476-9,7.51454
TX4,468477-12,8.28247
TX4,468477-14,6.558
TX4,468477-3,7.29781
TX4,468477-5,7.74329
TX4,468477-7,7.50229
TX4,468477-8,8.3272
TX4,468477-9,7.93681
TX5,468482-14,6.3882
TX5,468482-3,5.358
TX5,468482-5,6.77565
TX5,468482-6,6.43395
TX5,468482-8,6.88789
TX5,468482-9,6.95823
OK1,468486-2,5.804
OK1,468486-3,7.49276
OK1,468486-4,6.48881
OK1,468486-6,4.854
MT1,531035-1,5.23238
MT1,531035-10,6.09763
MT1,531035-11,5.26581
MT1,531035-14,4.56752
MT1,531035-16,3.954
MT1,531035-17,4.16658
MT1,531035-2,4.3633
MT1,531035-22,6.40534
MT1,531035-24,8.70346
MT1,531035-4,4.47349
MT1,531035-5,3.509
MT1,531035-6,4.7516
MT1,531035-7,5.62048
MT1,531035-8,4.227
MT2,586817-10,7.31719
MT2,586817-11,6.65698
MT2,586817-12,3.651
MT2,586817-13,6.226
MT2,586817-14,5.51803
MT2,586817-17,3.924
MT2,586817-2,6.80266
MT2,586817-21,4.786
MT2,586817-7,6.1
MT2,586817-8,5.028
MT2,586817-9,5.95993
NE1,586870-1,4.033
NE1,586870-12,6.18
NE1,586870-15,5.059
NE1,586870-19,6.64349
NE1,586870-2,4.524
NE1,586870-20,6.51064
NE1,586870-21,4.628
NE1,586870-6,4.77
SAS2,592311-1,4.79757
SAS2,592311-12,5.84366
SAS2,592311-15,6.26951
SAS2,592311-4,5.14212
SAS2,592311-5,3.246
SAS2,592311-7,4.48709
SAS2,592311-9,3.539
SAS3,592316-1,4.12268
SAS3,592316-10,4.61495
SAS3,592316-11,4.35071
SAS3,592316-12,4.76614
SAS3,592316-13,3.359
SAS3,592316-14,4.51691
SAS3,592316-15,2.605
SAS3,592316-16,3.83751
SAS3,592316-17,3.029
SAS3,592316-2,3.63743
SAS3,592316-3,2.943
SAS3,592316-4,3.579
SAS3,592316-5,4.71329
SAS3,592316-6,1.915
SAS3,592316-7,3.273
SAS3,592316-9,4.85565
SAS1,592320-10,3.72143
SAS1,592320-11,4.17221
SAS1,592320-13,4.05915
SAS1,592320-14,3.36432
SAS1,592320-16,2.379
SAS1,592320-21,2.393
SAS1,592320-24,2.602
SAS1,592320-28,2.71
SAS1,592320-6,2.865
ND1,613750-10,2.925
ND1,613750-11,5.50355
ND1,613750-13,3.444
ND1,613750-14,4.69339
ND1,613750-18,5.60284
ND1,613750-19,4.86943
ND1,613750-2,5.34592
ND1,613750-23,5.83976
ND1,613750-26,4.80008
ND1,613750-3,5.16013
ND1,613750-4,3.791
ND1,613750-5,5.45819
ND1,613750-6,5.507
ND1,613750-7,5.73019
ND1,613750-8,5.07867
ND1,613750-9,5.9946
WY1,649806-12,6.70104
WY1,649806-16,5.293
WY1,649806-19,5.75276
WY1,649806-3,5.47549
WY1,649806-6,6.25601
WY1,649806-7,6.11252
WY1,649806-9,6.01883
NE2,659440-10,4.94629
NE2,659440-13,6.13371
NE2,659440-16,4.481
NE2,659440-2,5.48099
NE2,659440-5,6.80301
NE2,659440-7,5.46379
NE2,659440-8,5.80767
